tweet,hashtags
"Worst brand when comes to quality control. Not ready to fix faulty charging port on nokia 6.1 plus, asking for repair charges when its a known manufacturing defect. Never communicated about extended warranty.",
"Worst brand when comes to quality control. Not ready to fix faulty charging port on nokia 6.1 plus, asking for repair charges when its a known manufacturing defect. Never communicated about extended warranty.",
"Worst brand when comes to quality control. Not ready to fix faulty charging port on nokia 6.1 plus, asking for repair charges when its a known manufacturing defect. Never communicated about extended warranty.",
Shot on Nokia 6.1 plus @NokiamobileIN @NokiamobBlog @nokianetworks #shotonnokia #nokia ,#shotonnokia #nokia
Sir pls give update for realme 6 after b.31 battery is draining faster and camera quality is detoriating after each update even my old nokia 6.1 plus had 16 megapixel front camera which took better pictures than this i brought for i thought realme as a brand was good ,
"One Plus 8, Google Pixel 3a, but if you're watching your budget you can do the Nokia 6.1 or any Nokia with similar features.",
"@nokia Nokia mobiles were ment for its stable quality products, but I am very unhappy with the hardware provide in nokia 6.1 plus. The charging port is very delicate and cost around 1.5k including service charge 4 months back I changed it but again the same issue 8892364205",
"@NokiamobileIN Nokia mobiles were ment for its stable quality products, but I am very unhappy with the hardware provide in nokia 6.1 plus. The charging port is very delicate and cost around 1.5k including service charge 4 months back I changed it but again the same issue.",
"@NokiaMobile Nokia mobiles were ment for its stable quality products, but I am very unhappy with the hardware provide in nokia 6.1 plus. The charging port is very delicate and cost around 1.5k including service charge 4 months back I changed it but again the same issue 8892364205",
Nokia 6.1 plus rasa iPhone dengan launcher IOS 13 edisi blom bisa move on dari iPhone tapi suka Ama Nokia @sarvikas @NokiamobBlog @nokianews @nokiafans_id @nokianesia @NokiaMobile,
Nokia 6.1 plus ,
@nokianesia nokia 6.1 plus nanti dapat update os 11 gk?,
Hello Nokia.. I am a proud customer of ur Handsets &amp; owns 6.1 Plus &amp; 5.1.. I faced lots of problem regarding charging jack in my 6.1 Plus &amp; felt disappointed.. Now facing same problem with my 5.1 Unfortunately the product got out of warranty DURING LOCKDOWN.. Plz help me out,
Tired of this bug in my Nokia 6.1 plus. The phone has this unknown problem in which it gets restated while using very often like 6-7 times everyday. Many people has this issue in the nokia 6.1+ community. Please help @NokiaMobile @NokiamobileIN @sarvikas @Nokiapoweruser,
Shot on Nokia 6.1 plus @NokiamobileIN @NokiamobBlog @nokianetworks #shotonnokia #nokia #من_تصويري #كل_عام_وانتم_بخير,#shotonnokia #nokia
Nokia 6.1 plus Not bad at shooting. Provides clear details and good colors #shotonnokia #nokia ,#shotonnokia #nokia
Nokia 6.1 plus Cats From the camera. #Nokia #Nokiacamera #shotonnokia #من_تصويري,#Nokia #Nokiacamera #shotonnokia
"Suhctup Funda Compatible para Nokia X6/6.1 Plus,Carcasa Transparente ",
"The previous update confirmed the call recording feature in the Google Phone app for supported devices and supported regions. Nokia 9 PureView,Nokia 8.,Nokia 8 Sirocco,Nokia 7.2,Nokia 7,Nokia 7 Plus,Nokia 6.2,Nk 6.1 Nk 6.1 Plus Nk 4.2 Nk 3.2 Nk 3.1 Plus Nk 2.3 Nk 2.2 ",
"Hi Nokia Support, Even my handset Nokia 6.1 plus has charging issue, can you pls send me instructions to check port problem or not ? Thanks !!",
Its a work in progress.. not as stable as internal camera app but definitely twice better. Go to the download section for nokia 6.1 plus.,
"Well, in Today's world of big bullshit screen sizes, this 4.7 size is still perfect for most of the people who actually want mobile phone, not the TV screen. Most people forced to use big ones due to lack of good option from Android. Mine is Nokia 6.1 Plus which is almost .",
@NokiamobileIN I never thought buying a Nokia phone will be so much regretful for me......Pathetic charging port in Nokia 6.1 plus,
nokia 6.1 plus vala charging problem ?,
"I am really big fan of Nokia that When we think to buy new Smartphone then we always choose Nokia. So currently We've Nokia 8.1, Nokia 6.1 Plus, Nokia 6. We had used Nokia Lumia 525, Nokia Asha 311 also. I love Lumia design so hope it'll be back with Android/Nokia's software.",
I grew interest in drawing/art during lockdown so bought technical pens to start my @justdrawabox journey! Apart from that bought a phone for my mom (you know that already) thanks to Nokia 6.1 plus charging issues she was frustrated using it.,
My nokia 6.1 plus is has charging issue and it is currently out of charge because I can't repair it during lockdown,
Haha. Nokia 6.1 Plus. It's good. Me likes. ,
@frandsheepme dude pls recommend this lady @nokia 6.1 plus for future telecom concerns.,
Nokia 6.1 plus,
want to change my Nokia 6.1 Plus to Nokia 8.1. But the device not available on My Country. :(,
@HMDGlobal @nokia @NokiaMobile @mehta_ajey @sarvikas @SeicheFlorian #Recall Your flagship device Nokia 6.1 plus has got charging port fault. Please recall the device to correct malfunction. Keep your brand trust &amp; credibility &amp; Reflect your professional values. ,#Recall
1. Realme c3 4/64 at 9k for performance 2. Vivo u10 3/32 at 10k for battery+fast charge 3. Redmi Note 8 at overall package 4. Moto one macro 4/64 for stock fell 5. Realme 5i 4/64 for looks. 6. Nokia 6.1 plus 4/64 at 9.5k for FHD display and regular updates.,
Will this type C charger work for Nokia 6.1 plus?,
"Nokia claims Zeiss cameras but its night mode is useless kindly improve night mode. Because i m using Nokia 6.1 plus and when i take selfie at night my friends chinese brands are performing far better than mine. So, it's embracing and kindly make sure for coming generations.",
"Once upon a time..in modi era, i was a rich man,then i bought a nokia 6.1 plus... Nd now i m a poor guy, Reason : in jst 1.5yrs , i changed my charging port thrice..paid more than 3.5k jst for that mistake which nokia does..dont buy nd Boycott NOKIA..",
"I just got the 4G SIM, Nokia 6.1 plus is also a 4G device and your customer care confirm my area has 4G network coverage.",
@NokiamobileIN My dad is having nokia 6.1 plus and facing charging issues but due to lockdown he can't reach to service center and during this the warranty will expire will nokia cover such things and help out its valuable customer.,
Nokia 6.1 plus does not have the band to support the faiba sim card therefore making it not compatible.,
 Nokia 6.1 plus,
"So bad because cheater you are liar because you are selling bad phone & android one logo issue stuck device status locked & bad software anyone can't unlock device they told motherboard issue so bad phone, you will see soon who are using Nokia they face issue soon 6.1 plus",
Nokia 6.1 plus,
Currently on Nokia 6.1 plus. Am looking for a good successor but the screens are too big. You need to give us a small powerful device,
"hi @nokianesia ada yang tahu ngga kenapa ya Nokia 6.1 plus saya belakangan susah di-charge, sudah ganti socket, plus dan cable, tetap saja sulit ngga ke-charge....harus diletakkan pada posisi tertentu dan ngga bisa digerakin sama sekali, barulah masuk arus listrik nya ",
"@nokia please help My phone nokia 6.1 plus which I purchased in july last year, it's charging slot is not working properly. My phone is in warranty. Please accept my complaint. It's urgent.",
Wallpaper also shot on Nokia 6.1 plus.. yet to check those shot on 7.2 and Realme X2 pro,
Shot on Nokia 6.1 Plus Shutter speed of 6.1 Plus is considerably faster than 7.2 in auto mode. 7.2 struggled to capture handheld shots without shakes. Personal verdict:- Midrange la nalla compact and powerful multimedia phone na #Nokia6dot1Plus #ShotOnNokia Featuring #Nokia7dot2,#Nokia6dot1Plus #ShotOnNokia #Nokia7dot2
"Good morning friends. Have a nice day! Shot on Nokia 6.1 Plus #ShotOnNokia #Promode for focus Vera level details 1. Original 2, 3 &amp; 4 edited using #SnapSeed #Leaf",#ShotOnNokia #Promode #SnapSeed #Leaf
[Price Update : 23/05/2020] Lowest Price update for Nokia 6.1 Plus (Nokia X6). Click here to find more dealers and their prices for this device.https://www.phoneprice.lk/phones/view/nokia-61-plus-nokia-x6 #phonePriceSriLanka,#phonePriceSriLanka
[Price Update : 23/05/2020] Lowest Price update for Nokia 6.1 Plus (Nokia X6). Click here to find more dealers and their prices for this device.https://www.phoneprice.lk/phones/view/nokia-61-plus-nokia-x6 #phonePriceSriLanka,#phonePriceSriLanka
"Nokia 9 PureView, Nokia 8.1, Nokia 8 Sirocco, Nokia 7.2, Nokia 7.1, Nokia 7 Plus, Nokia 6.2, Nokia 6.1, Nokia 6.1 Plus, Nokia 4.2, Nokia 3.2, Nokia 3.1 Plus, Nokia 2.3 and Nokia 2.2.",
@NokiamobileIN auto apps running in my nokia 6.1 plus. Even after factory reset. Can you please help me? ,
Does this device also have a charging issue like the Nokia 6.1 Plus? Please in suggest,
Case illa.. also phone is a bit heavy to handle. So afraid of dropping it bro.. easy to damage la.. adhan placed it back at office.. Android 10 Nokia 7.2 ku vandhudhu la.. so checking bro. Also 6.1 Plus is one of the best compact devices. Feels lite like honor 6x,
Shot on Nokia 6.1 Plus Walking pora gapla got a chance to click #shotonnokia #nokia6dot1plus #lizard Completely dark.. was forced to use flash. 1 and 2 original 3 and 4 edited in #snapseed,#shotonnokia #nokia6dot1plus #lizard #snapseed
@NokiaMobile Why is Nokia 6 1 plus not supporting Wi-Fi calls!!!???????? ,
Are those for 6.1 plus?? ,
[Top Price list : 22/05/2020] Price list update for Nokia 6.1 Plus (Nokia X6). Click here to find more dealers and their prices for this device.https://www.phoneprice.lk/phones/view/nokia-61-plus-nokia-x6 #phonePriceSriLanka,#phonePriceSriLanka
"Nokia 6.1 Plus India Unboxing, Camera, Features, Quick Review | Hindi ",
"@Android i am using nokia 6.1 plus and i am wondering if i get the whole options that the pixel is having.i am missing some of them.why can't i get every option.this is not about camera but about settings and about the display and ofcourse my phone is android 10 i.e,stock android",
[Top Price list : 21/05/2020] Price list update for Nokia 6.1 Plus (Nokia X6). Click here to find more dealers and their prices for this device.https://www.phoneprice.lk/phones/view/nokia-61-plus-nokia-x6 #phonePriceSriLanka,#phonePriceSriLanka
"ya ini finlandia :) nokia 6.1 plus, kaca smua gmana ga remek nyium semen :)",
hope so Nokia 6.1 plus will receive MR update. @NokiaMobile,
I'm not able to install #pocketnews apps for daily update in my handset Nokia 6.1 plus. #Help,#pocketnews #Help
"It's just been 18 months since I bought a 6.1 plus, charging port issue started mnths ago, earlier nokia is know for build quality but not now service centre says it wud cost 1800+tax which 20% of new mobile even after accepting the defect why charge @sarvikas @NokiamobileIN",
@NokiamobileIN The Charging port of my Nokia 6.1 plus got damaged for the second time. It happened last year as well but the phone was recovered in the warranty.The company responded to the problem saying it will clear this problem of Charging port for the second year as well. ,
3D Cute Rabbit Phone Case for Nokia 1 2 2.1 3 3.1 5 5.1 6 6.1 7 7.1 Plus 2018 4.2 X5 X6 X7 https://phoneybloom.com/3d-cute-rabbit-phone-case-for-nokia-1-2-2-1-3-3-1-5-5-1-6-6-1-7-7-1-plus-2018-4-2-x5-x6-x7-x71-soft-cartoon-back-cover-cases/,
"Here is the list of 14 devices that received this call recording feature: Nokia 9 PureView, Nokia 8.1, Nokia 8 Sirocco, Nokia 7.2,7.1, Nokia 7 Plus, Nokia 6.2,6.1, Nokia 6.1 Plus, Nokia 4.2,3.2,3.1 Plus,Nokia 2.3 ,Nokia 2.2 @FoneArenaTamil @FoneArena @Siva_Bharani @ssrivatsan",
I'm using qiuckstep launcher it is by default available in my nokia 6.1 plus,
Nokia 6.1 plus....,
[Top Price list : 21/05/2020] Price list update for Nokia 6.1 Plus (Nokia X6). Click here to find more dealers and their prices for this device.https://www.phoneprice.lk/phones/view/nokia-61-plus-nokia-x6 #phonePriceSriLanka,#phonePriceSriLanka
[Top Price list : 21/05/2020] Price list update for Nokia 6.1 Plus (Nokia X6). Click here to find more dealers and their prices for this device.https://www.phoneprice.lk/phones/view/nokia-61-plus-nokia-x6 #phonePriceSriLanka,#phonePriceSriLanka
[Price Update : 21/05/2020] Lowest Price update for Nokia 6.1 Plus (Nokia X6). Click here to find more dealers and their prices for this device.https://www.phoneprice.lk/phones/view/nokia-61-plus-nokia-x6 #phonePriceSriLanka,#phonePriceSriLanka
newsToch أخبارتكنو: تطرح شركة نوكيا هاتف بنظام Nokia Android 10 للهاتف الذكي 2018 Nokia 6.1 plus 4G أقرا المزيد https://newstoch.blogspot.com/2020/05/nokia-android-10-2018-nokia-61-plus.html?spref=tw,
"Currently, the only non-Xiaomi replacement for the Mi A1 is the Nokia 6.1 Plus. But damn the Mi A1 with a brand new screen protector feels fresh.",
#BoycottChina Nokia 6.1 Plus,#BoycottChina
(1/2) Best phones under 10000 rupees in #India Asus ZenFone Max M2: http://fkrt.it/U4LiF_uuuN @7500 Redmi 8a: http://fkrt.it/I_MHIQNNNN @7500 Nokia 6.1 Plus: http://fkrt.it/UP8bE_uuuN @9500 Motorola one Macro https://amzn.to/2LKSd7v @9500,#India
"Auto Telefono Titolare Magnetico In Macchina Montare Culla Regolabile Cruscotto Compatibile con Nokia 3/3.1, 5/5.1/5.1 Plus, 6/6.1/6.1 Plus, 7/7 Plus, 8 | Universale Cellulare Stare https://www.telenicosia.it/auto-telefono-titolare-magnetico-in-macchina-montare-culla-regolabile-cruscotto-compatibile-con-nokia-3-3-1-5-5-1-5-1-plus-6-6-1-6-1-plus-7-7-plus-8-universale-cellulare-stare/",
[Top Price list : 20/05/2020] Price list update for Nokia 6.1 Plus (Nokia X6). Click here to find more dealers and their prices for this device.https://www.phoneprice.lk/phones/view/nokia-61-plus-nokia-x6 #phonePriceSriLanka,#phonePriceSriLanka
Realme 3 pro Nokia 6.1 plus Redmi note 7 pro Moto one macro if available,
[Price Update : 20/05/2020] Lowest Price update for Nokia 6.1 Plus (Nokia X6). Click here to find more dealers and their prices for this device.https://www.phoneprice.lk/phones/view/nokia-61-plus-nokia-x6 #phonePriceSriLanka,#phonePriceSriLanka
[Top Price list : 20/05/2020] Price list update for Nokia 6.1 Plus (Nokia X6). Click here to find more dealers and their prices for this device.https://www.phoneprice.lk/phones/view/nokia-61-plus-nokia-x6 #phonePriceSriLanka,#phonePriceSriLanka
@herrysw hallo koh Herry. Saya membutuhkan affordable phone yang ringkas untuk keperluan kerja. Apakah Nokia 6.1 plus masih layak dipakai? atau mungkin ada rekomendasi lain. terimakasih,
"@NokiamobileIN @NokiaMobile @nokia @mehta_ajey @sarvikas @nokianetworks @NokiaOzo #RajeevSuri sir in the name of warranty you will provide bad phones &amp; I went there in 2019 March or April service Centre I purchased my mobile phone nokia 6.1 plus model in September 2018, reason",#RajeevSuri
"@Nokiapoweruser Sir, I once heard that Nokia is now installing Nokia Lumia camera sofatwear in the phone. Will 6.1 Plus include that camera software? Please reply.",
Hello friend nokia cheap quality ka phone provide kar raha hai mere ko v charging issue aaya tha or fir loudspeaker ka warranty finish then software ka 1 and half months me nokia 6.1 plus model me or warranty ke naam par cheating kar raha hi,
Hello friend nokia cheap quality ka phone provide kar raha hai mere ko v charging issue aaya tha or fir loudspeaker ka warranty finish then software ka 1 and half months me nokia 6.1 plus model me,
Hello friend nokia cheap quality ka phone provide kar raha hai mere ko v charging issue aaya tha or fir loudspeaker ka warranty finish then software ka 1 and half months me nokia 6.1 plus model me,
But cheater v Hai jab se liya hu tab se problem aaya hi nokia 6.1 plus model me mai v nokia ka blind user hu but sb se nahi,
"@NokiamobileIN Hi Team , We have the charging port issue on the Nokia 6.1 plus and have tried the steps provided by your support team which confirmed the port is defective. Please confirm if this spare available Chennai and if it's a free replacement of this defective port ?",
3rd class cellphones. I wasted my money in buying 6.1 plus,
Any chance Nokia 6.1 plus is getting Android 11. ,
MR update for Nokia 6.1 plus. please @NokiaMobile @sarvikas (@sarvikas or @NokiaMobile use Amazon music app or play PUBG MOBILE game in Nokia 6.1 plus and feel the pain listening audio crackling bug),
Nothing notif about update software Nokia 6.1 plus ,
"@nokia Sir, I once heard that Nokia is now installing Nokia Lumia camera sofatwear in the phone. Will 6.1 Plus include that camera software? Please reply. @nokia",
"@NokiaMobile Sir, I once heard that Nokia is now installing Nokia Lumia camera sofatwear in the phone. Will 6.1 Plus include that camera software? Please reply @NokiaMobile",
Nokia 6.1 plus ,
Used Mi A1 for 2 years and then exchanged from Nokia 6.1 Plus. Awesome device. Garibon ka DSLR. ,
"@NokiamobileIN @NokiaMobile @makeinindia @_DigitalIndia @nsitharaman sorry to say madam, but I am totally mentally harassed by this company fraud company providing us bad phone nokia 6.1 plus, if I am in a IAS officer or any officer really one time action we should to take",
"It just upsets you. I am saying a problem that i personally have three nokia 6.1 plus phones and all of them are down with charging port problem which means that even after the warranty period you should repair it for free because you degraded your quality. Regards, 8272987013",
I'm telling this to whole Nokia Team. I'm not gonna buy any product from Nokia. @SamsungIndia is Far better than Nokia. I bought my nokia 6.1 plus 1yr ago to my first salary.but it's not worthy at all.. this devices also have some charging issue. Today you lose a customer.,
تحديث اندرويد 10 لهاتف نوكيا 6.1 بلاس الان متاح nokia 6.1 plus ,
6.1 Plus,
I use nokia 6.1 plus BT5.0....I dont play games at all sorry,
Yes.. you're right Lawrence..it doesn't support pause feature. I bought this Nokia 6.1 plus becoz of its brand value..but in my future life I'm not going to buy any Nokia product again.,
@NokiamobileIN when can we expect new android 10 build for nokia 6.1 plus..??,
@nsitharamanoffc @nsitharaman Madam please help me make policy for us flexible for genuine customers please told to nokia 6.1 plus model they are not listing us properly please madam I am totally mentally upset please,
Shot on nokia 6.1 plus @NokiaMobile #androidone #android10 #NokiaForever #stayathome,#androidone #android10 #NokiaForever #stayathome #stayathome
It was very sad to read this. I was planning to buy K10 Note for its good Spec and affordable price. But changed my mind after knowing it won't get Android 10 upgrade. I will be sticking on to Nokia brand for its major updates feature. I got 2 major updates for Nokia 6.1 plus ,
@NokiamobileIN my nokia 6.1 plus mobile is not charging due to some port problem jst aftr 7 month of use. But authorise service centre denies to repair by saying no parts are coming for repairing. Since having warranty unable to repaire or to be repaired.,
[Top Price list : 18/05/2020] Price list update for Nokia 6.1 Plus (Nokia X6). Click here to find more dealers and their prices for this device.https://www.phoneprice.lk/phones/view/nokia-61-plus-nokia-x6 #phonePriceSriLanka,#phonePriceSriLanka
@NokiamobileIN @nokia I have 6.1 plus mobile. Purchased 14 months back. Now screen is totally black. All other functions are working. No support from customer care. I know the warranty is over but is the life of the mobile is only 14 months? If yes plz confirm.,
"@sarvikas @NokiamobileIN @NokiaMobile @nokia hate the Nokia 6.1 plus bought a little over a year ago. Charging port went kaput twice! And has rendered a person without any choice but to throw this phone in the dustbin. Never touch a #Nokia phone. Search ""nokia charging"" here.",#Nokia
Smartphone camera review | Nokia 6.1 plus| camera review |TECH PHOŤOGRAPHY | ,
[Price Update : 18/05/2020] Lowest Price update for Nokia 6.1 Plus (Nokia X6). Click here to find more dealers and their prices for this device.https://www.phoneprice.lk/phones/view/nokia-61-plus-nokia-x6 #phonePriceSriLanka,#phonePriceSriLanka
"Facing the common charging port issue with my 6.1 Plus. Nokia told me it cannot be fixed in EU as it was sold from Asia. It's a manufacturing defect and this ""international"" company is not ready to support users moving around the world. @Nokiamobile",
"Same here, android 10 from @NokiaMobile @sarvikas for Nokia 6.1 plus came with so many bugs, sound crackling and 3rd party app camera can not shutter kindly fix the build",
Saya malah memburu nokia 6.1 plus,
waiting from jan 6th 2020 when android 10 released for Nokia 6.1 Plus. lot of bugs to be fixed mainly audio crackling bug,
"If you want to test this, take nokia 6.1 plus mobile with Android 10 latest security updates installed, open chrome, browse something, activate battery saver, the chrome turns black mode and the page reloads. Open any app, use it and turn on battery saver, it reloads",
"Guys this is not my phone problem, this is the OS feature problem, I checked with my colleagues with same model, same problem. Rven I checked with a friend having Nexus with same OS, same problem. I don't bother about other model, pls fix on Nokia 6.1 plus.",
Unpatched and bugged Android 10 image release 6 months ago bases on old and bugged AOSP code for Nokia 7 plus. Will you be able to fix or will you stop support for Nokia 7 plus (and 6.1 as well) leaving them with major bugs? I repeat 6 MONTHS @sarvikas @NokiaMobile,
Nokia 6.1 Plus | Ficha Técnica ,
[Top Price list : 17/05/2020] Price list update for Nokia 6.1 Plus (Nokia X6). Click here to find more dealers and their prices for this device.https://www.phoneprice.lk/phones/view/nokia-61-plus-nokia-x6 #phonePriceSriLanka,#phonePriceSriLanka
@Nokiapoweruser My phone Nokia 6.1 plus suddenly turn off. Please give me solution.,
what about the MR update for Nokia 6.1 plus. @Nokiapoweruser is the best source to know about the details of Nokia mobiles. keep it up ,
Nokia 6.1 plus ma Charging Problem,
Cute Animal Cat Cover For Nokia Phone Cute Animal Cat Cover For Nokia 8 7 7.1 6 6.1 5 5.1 3 3.1 2 2 Plus 9 PureView Phone Case For Nokia X7 X6 X5 X3 Soft TPU Click ---&gt;&gt; https://bit.ly/2Zbv06y,
"I would be very happy if I got this smartphone. Right now I am using nokia 6.1 plus Thank you unbox therapy for this giveaway, ",
Nokia 6.1 plus Ijen dikala pagi ,
"@NokiamobileIN I own Nokia 6.1 plus ,Android 10 with latest update. At 15%, I set battery saver to turn on. Whenever the battery saver turn on or vice versa, the apps restart automatically. The apps restart regardless of you play game or do any bank transaction. Pls fix this ",
"Hi,I'm a user of Nokia 6.1 Plus .From two weeks I'm dealing with a serious issue in the camera app .Photos from rear camera are captured in black and white. Please publish a required solution to this problem.@nokia @NokiamobileIN @nokiasupport @nokianesia @HMDGlobal",
Nokia 6.1 plus ,
"I bought a new nokia 6.1 plus, and half of my apps aint responding, isnt this phone frustrating?",
We order a phone Nokia 6.1 plus After 5 days of waiting you send us email claiming it is out of stock. We go back and check online and you've more than 5 phones What the helllllllll You've wasted our time,
@NokiaMobile Hi! Big fan of Nokia phones. Waiting for new launches. Craving to replace my nokia 6.1 plus with something more beautiful and powerful.,
"@NokiaMobile @NokiamobileIN @rajeevsuri nokia either fix issues in your 6.1 plus (crackling sound, laggging) or buy back all phones and change your line of business to sanitizers or poison #nokia #india #mobile",#nokia #india #mobile
[Top Price list : 16/05/2020] Price list update for Nokia 6.1 Plus (Nokia X6). Click here to find more dealers and their prices for this device.https://www.phoneprice.lk/phones/view/nokia-61-plus-nokia-x6 #phonePriceSriLanka,#phonePriceSriLanka
Nokia 6.1 plus #Nokia #Adeez_Ansari,#Nokia #Adeez_Ansari
newsToch أخبارتكنو - اخبار الهواتف تطرح شركة نوكيا Nokia Android 10 للهاتف الذكي 2018 Nokia 6.1 Plus أقرا اكثر من الرابط التالي... https://newstoch.blogspot.com/2020/05/nokia-android-10-2018-nokia-61-plus.html#gsc.tab=0,
It's not working on Nokia 6.1 plus,
@nokia @NokiaMobile @NokiamobileIN really is this your good service. Nokia 6.1 plus model TA 1083 already visited service centre told me to change the motherboard new phone purchased in a warranty or after warranty always face problems but physically no any damage,
@NokiamobileIN I have sum technical issue in my Nokia 6.1 Plus mobile. can I visit Nokia Service Centre in orange Zone at Visakhapatnam AP. For Repair it.,
[Top Price list : 15/05/2020] Price list update for Nokia 6.1 Plus (Nokia X6). Click here to find more dealers and their prices for this device.https://www.phoneprice.lk/phones/view/nokia-61-plus-nokia-x6 #phonePriceSriLanka,#phonePriceSriLanka
Nokia 6.1 Plus خیلی خوبه,
"Emg android major update build pertama selalu banyak bug, nokia 6.1 plus ane aja sampe skrg masi blm ada update build, masi banyak Bug, apalagi suara pecah kalo maen game sama suka stuck ambil kamera paker 3rd app, nunggu build update blm ada aja",
"Se a @Multilaser_BR trouxer para o Brasil o Nokia 6.1 Plus com um preço justo, vai vender muito.",
Ak pake nokia 6.1 plus yg ram 6gb dpt 2jt,
Nokia 6.1 plus is best cause it's camera is damn good and budget phone ,
"Bro I have tried doing it for many times, still no respite. The network kees fluctuating between 4g & 2g. My mother also uses same network on Nokia 6.1 plus. But her mobile consistently latches to 4g network. Point to think about isn't it?",
"Nokia 6.1 plus Tsh 440,000/= @Dar es Salaam, Tanzania https://www.instagram.com/p/CAMonEZA_XG/?igshid=pl0j9yosai27",
newsToch أخبارتكنو - اخبار الهواتف تطرح شركة نوكيا Nokia Android 10 للهاتف الذكي 2018 Nokia 6.1 Plus أقرا اكثر من الرابط التالي... https://newstoch.blogspot.com/2020/05/nokia-android-10-2018-nokia-61-plus.html,
"How shame! @NokiaMobile your 6.1 plus devices are not fHD display it shows difference while playing video as compair to (@realme 3pro is good camera, photos &amp; full hi- quality display with1 day battery backup phone). Nokia haven't any music,video player , calculator,call recorder",
"Lenovo K10 Note, Nokia 6.1 Plus to Realme 5i: Best phones under Rs 10,000 (May 2020) - Firstpost https://www.firstpost.com/tech/news-analysis/lenovo-k10-note-nokia-6-1-plus-to-realme-5i-best-phones-under-rs-10000-may-2020-8366591.html via @GoogleNews",
" :nokia 6.1 plus : 1, 2 Alshafa | 3, 4 makkah #مسابقة_سلطان_الرمضانية_للتصوير",
[Top Price list : 15/05/2020] Price list update for Nokia 6.1 Plus (Nokia X6). Click here to find more dealers and their prices for this device.https://www.phoneprice.lk/phones/view/nokia-61-plus-nokia-x6 #phonePriceSriLanka,#phonePriceSriLanka
"@NokiaMobile has the worst devices on the surface of Africa. How will a Nokia 6.1 Plus experience board failure in just 15 months? I repaired the charging port 3 times within a year. This is very terrible. Now I can't repair because it will cost N62,000 to fix.",
"Nyimak, walopun udh ntah cmana mana wkwk. Nokia 6.1 plus #nokia ",#nokia
[Top Price list : 14/05/2020] Price list update for Nokia 6.1 Plus (Nokia X6). Click here to find more dealers and their prices for this device.https://www.phoneprice.lk/phones/view/nokia-61-plus-nokia-x6 #phonePriceSriLanka,#phonePriceSriLanka
nokia 6.1 plus gwjadi cepet banget panas.ada yg ngrasain juga gk,
hey @NokiamobileIN @NokiaMobile @nokia when will you guyz allow us to unlock the bootloader with the help of unlock key... currently using nokia 6.1 plus... plz do allow us to unlock it ,
"Nokia 6.1 Plus @Ksh 19,499 &gt;Free Delivery &gt;0711516475 Features : RAM: 4 GB Internal Storage: 64 GB (Expandable) Battery: 3060 mAh Main camera: 16MP +5 MP Front camera: 16 MP Display: 5.8 inch Colors: Black, Blue, White. OS: Android 8.1 Oreo #RutoConmanship Uhuru Kenyatta",#RutoConmanship
Before launching new product please make sure charging port will b-ok . Charging issue not come like Nokia 6.1 Plus and 5.1 Plus,
After upgrading April security patch on Nokia 6.1 Plus facing too much heating issue when I put phone into charge. Anytime time normally it got overheating when I turn on data connection. And I cannot play a PUBG Mobile also smoothly. Help me please,
10 time already complain in nokia 6.1 plus very disappointed now mobile already damage at time mobile my hand so please new mobile replace and i m big fan nokia and current at timr i have c5 mobile i havd and many changes so please my mobile replacing and nokia is very reliance,
[Top Price list : 14/05/2020] Price list update for Nokia 6.1 Plus (Nokia X6). Click here to find more dealers and their prices for this device.https://www.phoneprice.lk/phones/view/nokia-61-plus-nokia-x6 #phonePriceSriLanka,#phonePriceSriLanka
"Don't make such silly comments like handset or other issues. My handset is new nokia 6.1 plus. BSNL, AIRTEL, Vodafone sim checked. Good speed expect jio. Handset interchange done several times. ",
"Lenovo K10 Note, Nokia 6.1 Plus to Realme 5i: Best phones under Rs 10,000 (May 2020) https://ift.tt/2Wt4CDa",
[Price Update : 14/05/2020] Lowest Price update for Nokia 6.1 Plus (Nokia X6). Click here to find more dealers and their prices for this device.https://www.phoneprice.lk/phones/view/nokia-61-plus-nokia-x6 #phonePriceSriLanka,#phonePriceSriLanka
"Lenovo K10 Note, Nokia 6.1 Plus to Realme 5i: Best phones under Rs 10,000 (May 2020) https://is.gd/WtTbfx #gaming #laptop",#gaming #laptop
"Lenovo K10 Note, Nokia 6.1 Plus to Realme 5i: Best phones under Rs 10,000 (May 2020) https://ift.tt/3dVeEDh",
"Lenovo K10 Note, Nokia 6.1 Plus to Realme 5i: Best phones under Rs 10,000 (May 2020) - Firstpost ",
"Lenovo K10 Note, Nokia 6.1 Plus to Realme 5i: Best phones under Rs 10,000 (May 2020)- Technology News, Firstpost https://newsjok.com/lenovo-k10-note-nokia-6-1-plus-to-realme-5i-best-phones-under-rs-10000-may-2020-technology-news-firstpost/",
"Lenovo K10 Note, Nokia 6.1 Plus to Realme 5i: Best phones under Rs 10,000 (May 2020) https://trilinda.com/lenovo-k10-note-nokia-6-1-plus-to-realme-5i-best-phones-under-rs-10000-may-2020/",
[Top Price list : 14/05/2020] Price list update for Nokia 6.1 Plus (Nokia X6). Click here to find more dealers and their prices for this device.https://www.phoneprice.lk/phones/view/nokia-61-plus-nokia-x6 #phonePriceSriLanka,#phonePriceSriLanka
"Sometimes im experiencing ghost touch. I can only fix it by locking then unlocking the phone. My phone Nokia 6.1 plus seemed to go crazy, It didn't stop going back and forward, the bluetooth turned on and off automatically. &lt;1&gt;@NokiamobileIN @NokiaMobile @nokia",
